ID,0,1,2
device__attribute_maximum_texture2d_linear_width,131072,131072,131072
device__attribute_maximum_texture2d_mipmapped_height,32768,32768,32768
device__attribute_maximum_texture2d_mipmapped_width,32768,32768,32768
device__attribute_maximum_texture2d_width,131072,131072,131072
device__attribute_maximum_texture3d_depth,16384,16384,16384
device__attribute_maximum_texture3d_depth_alternate,32768,32768,32768
device__attribute_maximum_texture3d_height,16384,16384,16384
device__attribute_maximum_texture3d_height_alternate,8192,8192,8192
device__attribute_maximum_texture3d_width,16384,16384,16384
device__attribute_maximum_texture3d_width_alternate,8192,8192,8192
device__attribute_maximum_texturecubemap_layered_layers,2046,2046,2046
device__attribute_maximum_texturecubemap_layered_width,32768,32768,32768
device__attribute_maximum_texturecubemap_width,32768,32768,32768
device__attribute_mem_sync_domain_count,1,1,1
device__attribute_memory_clock_rate,7001000,7001000,7001000
device__attribute_memory_pools_supported,1,1,1
device__attribute_mempool_supported_handle_types,0,0,0
device__attribute_mps_enabled,0,0,0
device__attribute_multi_gpu_board,0,0,0
device__attribute_multi_gpu_board_group_id,0,0,0
device__attribute_multicast_supported,0,0,0
device__attribute_multiprocessor_count,34,34,34
device__attribute_num_l2s_per_fbp,8,8,8
device__attribute_num_schedulers_per_multiprocessor,4,4,4
device__attribute_num_tex_per_multiprocessor,1,1,1
device__attribute_numa_config,0,0,0
device__attribute_pageable_memory_access,0,0,0
device__attribute_pageable_memory_access_uses_host_page_tables,0,0,0
device__attribute_pci_bus_id,43,43,43
device__attribute_pci_device_id,0,0,0
device__attribute_pci_domain_id,0,0,0
device__attribute_ram_location,1,1,1
device__attribute_ram_type,17,17,17
device__attribute_reserved_shared_memory_per_block,0,0,0
device__attribute_sass_level,7,7,7
device__attribute_single_to_double_precision_perf_ratio,32,32,32
device__attribute_sparse_cuda_array_supported,1,1,1
device__attribute_stream_priorities_supported,1,1,1
device__attribute_surface_alignment,512,512,512
device__attribute_tcc_driver,0,0,0
device__attribute_tensor_map_access_supported,0,0,0
device__attribute_texture_alignment,512,512,512
device__attribute_texture_pitch_alignment,32,32,32
device__attribute_total_constant_memory,65536,65536,65536
device__attribute_total_memory,8589606912,8589606912,8589606912
device__attribute_unified_addressing,1,1,1
device__attribute_unified_function_pointers,0,0,0
device__attribute_virtual_address_management_supported,1,1,1
device__attribute_warp_size,32,32,32
dram__bytes.avg.peak_sustained [byte/cycle],8,8,8
dram__bytes.avg.per_second [Gbyte/s],0.11,0.04,5.29
dram__bytes.max.peak_sustained [byte/cycle],8,8,8
dram__bytes.max.per_second [Gbyte/s],0.12,0.05,5.35
dram__bytes.min.peak_sustained [byte/cycle],8,8,8
dram__bytes.min.per_second [Gbyte/s],0.09,0.03,5.22
dram__bytes.sum.peak_sustained [byte/cycle],64,64,64
dram__bytes.sum.per_second [Gbyte/s],0.86,0.34,42.29
dram__bytes_read.sum [Mbyte],0.21,0.07,78.54
dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],0.19,0.06,2.84
dram__bytes_read.sum.per_second [Gbyte/s],0.82,0.27,12.39
dram__bytes_write.sum [Mbyte],0.01,0.02,189.56
dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],0.01,0.02,6.85
dram__bytes_write.sum.per_second [Gbyte/s],0.04,0.07,29.90
dram__cycles_active.avg [cycle],3536,1390,4189059
dram__cycles_active.avg.pct_of_peak_sustained_elapsed [%],0.20,0.08,9.68
dram__cycles_active.max [cycle],4016,1760,4242824
dram__cycles_active.max.pct_of_peak_sustained_elapsed [%],0.22,0.10,9.81
dram__cycles_active.min [cycle],3000,976,4132912
dram__cycles_active.min.pct_of_peak_sustained_elapsed [%],0.17,0.05,9.55
dram__cycles_active.sum [cycle],28288,11120,33512472
dram__cycles_active.sum.pct_of_peak_sustained_elapsed [%],0.20,0.08,9.68
dram__cycles_elapsed.avg [cycle],1787392,1785344,43264512
dram__cycles_elapsed.avg.per_second [Ghz],6.78,6.77,6.83
dram__cycles_elapsed.max [cycle],1787392,1785344,43264512
dram__cycles_elapsed.max.per_second [Ghz],6.78,6.77,6.83
dram__cycles_elapsed.min [cycle],1787392,1785344,43264512
dram__cycles_elapsed.min.per_second [Ghz],6.78,6.77,6.83
dram__cycles_elapsed.sum [cycle],14299136,14282752,346116096
dram__cycles_elapsed.sum.per_second [Ghz],54.28,54.14,54.60
dram__sectors_read.sum [sector],6712,2222,2454245
dram__sectors_write.sum [sector],360,558,5923873
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed [%],0.12,0.05,5.86
fbpa__dram_sectors.max.pct_of_peak_sustained_elapsed [%],0.13,0.06,5.91
fbpa__dram_sectors.min.pct_of_peak_sustained_elapsed [%],0.11,0.04,5.80
fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed [%],0.12,0.05,5.86
gcc__cache_requests_type_constant.sum [request],4,4,1122
gcc__cache_requests_type_constant.sum.pct_of_peak_sustained_elapsed [%],0.00,0.00,0.01
gcc__cache_requests_type_instruction.sum [request],138,138,7664811
gcc__cache_requests_type_instruction.sum.pct_of_peak_sustained_elapsed [%],0.02,0.02,54.79
gcc__xbar2gcc_sectors.sum [sector],3368,3368,1255632
gcc__xbar2gcc_sectors.sum.pct_of_peak_sustained_elapsed [%],0.29,0.29,4.49
gpc__cycles_elapsed.avg [cycle],385098.67,385233.33,9326833.33
gpc__cycles_elapsed.avg.per_second [Ghz],1.46,1.46,1.47
gpc__cycles_elapsed.max.per_second [Ghz],1.46,1.46,1.47
gpc__cycles_elapsed.min [cycle],384084,384411,9297291
gpc__cycles_elapsed.min.per_second [Ghz],1.46,1.46,1.47
gpc__cycles_elapsed.sum [cycle],1155296,1155700,27980500
gpc__cycles_elapsed.sum.per_second [Ghz],4.39,4.38,4.41
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed [%],0.04,0.05,24.80
gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed [%],0.88,0.88,25.66
gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed [%],0.03,0.03,23.42
gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed [%],0.04,0.05,24.80
gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],0.04,0.03,5.50
gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],0.18,0.17,6.49
gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],0.03,0.01,4.74
gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],0.04,0.03,5.50
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed [%],0.20,0.08,44.19
gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed [%],1.49,1.49,45.89
gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed [%],0.17,0.05,42.07
gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed [%],0.20,0.08,44.19
gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],0,0,0
gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],0,0,0
gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],0,0,0
gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],0,0,0
gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed [%],1.49,1.49,45.89
gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed [%],0.17,0.05,42.07
gpu__compute_memory_throughput.sum.pct_of_peak_sustained_elapsed [%],0.20,0.08,44.19
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed [%],0.20,0.08,9.68
gpu__dram_throughput.max.pct_of_peak_sustained_elapsed [%],0.22,0.10,9.81
gpu__dram_throughput.min.pct_of_peak_sustained_elapsed [%],0.17,0.05,9.55
gpu__dram_throughput.sum.pct_of_peak_sustained_elapsed [%],0.20,0.08,9.68
gpu__time_duration.avg [ms],0.26,0.26,6.34
gpu__time_duration.max [ms],0.26,0.26,6.34
gpu__time_duration.min [ms],0.26,0.26,6.34
group:memory__chart,"dram__bytes_read.sum,dram__bytes_read.sum.pct_of_peak_sustained_elapsed,dram__bytes_read.sum.per_second,dram__bytes_write.sum,dram__bytes_write.sum.pct_of_peak_sustained_elapsed,dram__bytes_write.sum.per_second,gcc__cache_requests_type_constant.sum,gcc__cache_requests_type_constant.sum.pct_of_peak_sustained_elapsed,gcc__cache_requests_type_instruction.sum,gcc__cache_requests_type_instruction.sum.pct_of_peak_sustained_elapsed,gcc__xbar2gcc_sectors.sum,gcc__xbar2gcc_sectors.sum.pct_of_peak_sustained_elapsed,idc__request_hit_rate.pct,idc__requests.sum,idc__requests.sum.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_write_bytes.sum,l1tex__m_l1tex2xbar_write_bytes.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_write_bytes.sum.per_second,l1tex__m_xbar2l1tex_read_bytes.sum,l1tex__m_xbar2l1tex_read_bytes.sum.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_bytes.sum.per_second,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_texture.sum,l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,l1tex__t_sector_hit_rate.pct,lts__t_sector_hit_rate.pct,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum.per_second,lts__t_sectors_srcunit_tex_op_read.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_op_read.sum,lts__t_sectors_srcunit_tex_op_write.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_op_write.sum,sm__icc_request_hit_rate.pct,sm__icc_requests.sum,sm__icc_requests.sum.pct_of_peak_sustained_elapsed,smsp__cycles_elapsed.sum,smsp__imc_request_hit_rate.pct,smsp__imc_requests.sum,smsp__imc_requests.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_generic_atom_dot_alu.sum,smsp__inst_executed_op_generic_atom_dot_alu.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_generic_atom_dot_cas.sum,smsp__inst_executed_op_generic_atom_dot_cas.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_global_red.sum,smsp__inst_executed_op_global_red.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_ldsm.sum,smsp__inst_executed_op_ldsm.sum.pct_of_p...","dram__bytes_read.sum,dram__bytes_read.sum.pct_of_peak_sustained_elapsed,dram__bytes_read.sum.per_second,dram__bytes_write.sum,dram__bytes_write.sum.pct_of_peak_sustained_elapsed,dram__bytes_write.sum.per_second,gcc__cache_requests_type_constant.sum,gcc__cache_requests_type_constant.sum.pct_of_peak_sustained_elapsed,gcc__cache_requests_type_instruction.sum,gcc__cache_requests_type_instruction.sum.pct_of_peak_sustained_elapsed,gcc__xbar2gcc_sectors.sum,gcc__xbar2gcc_sectors.sum.pct_of_peak_sustained_elapsed,idc__request_hit_rate.pct,idc__requests.sum,idc__requests.sum.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_write_bytes.sum,l1tex__m_l1tex2xbar_write_bytes.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_write_bytes.sum.per_second,l1tex__m_xbar2l1tex_read_bytes.sum,l1tex__m_xbar2l1tex_read_bytes.sum.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_bytes.sum.per_second,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_texture.sum,l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,l1tex__t_sector_hit_rate.pct,lts__t_sector_hit_rate.pct,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum.per_second,lts__t_sectors_srcunit_tex_op_read.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_op_read.sum,lts__t_sectors_srcunit_tex_op_write.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_op_write.sum,sm__icc_request_hit_rate.pct,sm__icc_requests.sum,sm__icc_requests.sum.pct_of_peak_sustained_elapsed,smsp__cycles_elapsed.sum,smsp__imc_request_hit_rate.pct,smsp__imc_requests.sum,smsp__imc_requests.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_generic_atom_dot_alu.sum,smsp__inst_executed_op_generic_atom_dot_alu.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_generic_atom_dot_cas.sum,smsp__inst_executed_op_generic_atom_dot_cas.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_global_red.sum,smsp__inst_executed_op_global_red.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_ldsm.sum,smsp__inst_executed_op_ldsm.sum.pct_of_p...","dram__bytes_read.sum,dram__bytes_read.sum.pct_of_peak_sustained_elapsed,dram__bytes_read.sum.per_second,dram__bytes_write.sum,dram__bytes_write.sum.pct_of_peak_sustained_elapsed,dram__bytes_write.sum.per_second,gcc__cache_requests_type_constant.sum,gcc__cache_requests_type_constant.sum.pct_of_peak_sustained_elapsed,gcc__cache_requests_type_instruction.sum,gcc__cache_requests_type_instruction.sum.pct_of_peak_sustained_elapsed,gcc__xbar2gcc_sectors.sum,gcc__xbar2gcc_sectors.sum.pct_of_peak_sustained_elapsed,idc__request_hit_rate.pct,idc__requests.sum,idc__requests.sum.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_write_bytes.sum,l1tex__m_l1tex2xbar_write_bytes.sum.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_write_bytes.sum.per_second,l1tex__m_xbar2l1tex_read_bytes.sum,l1tex__m_xbar2l1tex_read_bytes.sum.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_bytes.sum.per_second,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,l1tex__t_requests_pipe_tex_mem_texture.sum,l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,l1tex__t_sector_hit_rate.pct,lts__t_sector_hit_rate.pct,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum.per_second,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum.per_second,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum.per_second,lts__t_sectors_srcunit_tex_op_read.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_op_read.sum,lts__t_sectors_srcunit_tex_op_write.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_srcunit_tex_op_write.sum,sm__icc_request_hit_rate.pct,sm__icc_requests.sum,sm__icc_requests.sum.pct_of_peak_sustained_elapsed,smsp__cycles_elapsed.sum,smsp__imc_request_hit_rate.pct,smsp__imc_requests.sum,smsp__imc_requests.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_generic_atom_dot_alu.sum,smsp__inst_executed_op_generic_atom_dot_alu.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_generic_atom_dot_cas.sum,smsp__inst_executed_op_generic_atom_dot_cas.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_global_red.sum,smsp__inst_executed_op_global_red.sum.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_ldsm.sum,smsp__inst_executed_op_ldsm.sum.pct_of_p..."
group:memory__dram_table,"dram__bytes_read.sum,dram__bytes_read.sum.pct_of_peak_sustained_elapsed,dram__bytes_read.sum.per_second,dram__bytes_write.sum,dram__bytes_write.sum.pct_of_peak_sustained_elapsed,dram__bytes_write.sum.per_second,dram__sectors_read.sum,dram__sectors_write.sum","dram__bytes_read.sum,dram__bytes_read.sum.pct_of_peak_sustained_elapsed,dram__bytes_read.sum.per_second,dram__bytes_write.sum,dram__bytes_write.sum.pct_of_peak_sustained_elapsed,dram__bytes_write.sum.per_second,dram__sectors_read.sum,dram__sectors_write.sum","dram__bytes_read.sum,dram__bytes_read.sum.pct_of_peak_sustained_elapsed,dram__bytes_read.sum.per_second,dram__bytes_write.sum,dram__bytes_write.sum.pct_of_peak_sustained_elapsed,dram__bytes_write.sum.per_second,dram__sectors_read.sum,dram__sectors_write.sum"
