Distanza,Tempo di esecuzione (s),User time (seconds),System time (seconds),Percent of CPU this job got (%),Elapsed (wall clock) time (s),Maximum resident set size (kbytes),Minor (reclaiming a frame) page faults
5,0.7464320379,1.4803333333333333,0.042,165.16666666666666,0.9623333333333334,51934.0,6681.633333333333
10,2.049844719633334,2.703333333333333,0.07233333333333333,122.56666666666666,2.2939999999999996,155251.33333333334,7660.766666666666
15,4.39654644316667,5.138999999999999,0.09400000000000001,113.26666666666667,4.608333333333333,466302.93333333335,8471.133333333333
20,10.89434997433333,11.521666666666667,0.15733333333333333,104.8,11.126,1001046.0,8775.933333333332
25,26.46562222373333,26.804666666666666,0.32266666666666666,101.03333333333333,26.716666666666665,1848626.5333333334,9705.966666666667
