,Distanza,Tempo di esecuzione (s),User time (seconds),System time (seconds),Percent of CPU this job got (%),Elapsed (wall clock) time (s),Maximum resident set size (kbytes),Minor (reclaiming a frame) page faults
0,5,0.29929610561067194,0.021101295630730106,0.4482788694510452,0.1852664742178553,0.25450262469914486,0.0021377916815476183,0.038572434587464594
1,10,0.24991747168149725,0.14725049418764039,0.5244709069375219,0.08174798913677511,0.24120575134307395,0.0009941863838377738,0.03900392614801616
2,15,0.08399057351613007,0.06937518792560063,0.33941522863450424,0.019389026027759236,0.08335451037897634,0.0003278461871237674,0.02921159167546384
3,20,0.11965968343558119,0.1010767041935255,0.25474817167562736,0.01963536152154436,0.12002472340718323,0.00013459880524319186,0.06827436355237514
4,25,0.049641714544897825,0.05014846801162495,0.14374501395370418,0.005503662983512408,0.04888859249148504,0.00041434954846790125,0.03867212575737884
5,30,0.11332833815040286,0.11147526531739,0.13700453519488776,0.002513620855704719,0.11298612457894272,2.8585412862221897e-05,0.019178751923607885
6,35,0.11938126966655642,0.11912468201144287,0.15574297706824036,0.001826350641897849,0.1191503067775589,3.6430524201228914e-05,0.025644483015705592
7,40,0.0770337676123204,0.06762480911420622,0.4862994234392068,0.038895315107775656,0.07714687267137058,0.020159307361470556,1.1794782198608256
