Distanza,Tempo di esecuzione (s),User time (seconds),System time (seconds),Percent of CPU this job got (%),Elapsed (wall clock) time (s),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes)
5,0.056433027091371525,0.023021728866442694,0.026457513110645908,9.396807968666808,0.08473488065725945,0.0,0.0,0.0,0.0,237.55420434081975,0.0,0.8944271909999153,3.8729833462074534,12.541929676090607,305.6357308954567,0.0,103.75355415599034,0.0,0.0,0.0,0.0,0.0
10,0.1573204145718763,0.13813037319865618,0.020736441353327723,3.0,0.16456001944579382,0.0,0.0,0.0,0.0,107.79239305257332,0.0,0.0,279.35103364763125,0.5477225575051246,274.21469690736853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.05839300011247002,0.027748873851023263,0.027748873851023214,1.788854381999833,0.06519202405202648,0.0,0.0,0.0,0.0,33.70459909270975,0.0,0.0,229.65887746830086,0.8366600265341028,348.43679484233576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
