Distanza,Tempo medio GPU (s)
5,0.0024655679861703968
10,0.008469971211751259
15,0.025224983469645128
20,0.056766973876953085
25,0.10746278406778967
30,0.18105826619466142
35,0.2661968485514323
40,0.3793201527913411
45,0.5201760213216146
50,0.7017398803710937
55,0.9172363606770834
60,1.1785062866210938
65,1.4940303670247395
70,1.8730371663411458
75,2.3099942952473955
80,2.7808399332682288
84,3.218778165690104
