Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation,d,run
66.4,26980,2,13490.0,13490.0,11068,15912,3425.2,[CUDA memset],15,9
27.2,11036,1,11036.0,11036.0,11036,11036,0.0,[CUDA memcpy Host-to-Device],15,9
6.5,2631,2,1315.5,1315.5,1219,1412,136.5,[CUDA memcpy Device-to-Host],15,9
66.4,28218,2,14109.0,14109.0,11907,16311,3114.1,[CUDA memset],15,10
26.4,11204,1,11204.0,11204.0,11204,11204,0.0,[CUDA memcpy Host-to-Device],15,10
7.3,3097,2,1548.5,1548.5,1501,1596,67.2,[CUDA memcpy Device-to-Host],15,10
73.4,78678,2,39339.0,39339.0,38829,39849,721.2,[CUDA memset],25,1
24.1,25897,1,25897.0,25897.0,25897,25897,0.0,[CUDA memcpy Host-to-Device],25,1
2.5,2676,2,1338.0,1338.0,1338,1338,0.0,[CUDA memcpy Device-to-Host],25,1
72.6,77375,2,38687.5,38687.5,36661,40714,2865.9,[CUDA memset],25,2
24.8,26386,1,26386.0,26386.0,26386,26386,0.0,[CUDA memcpy Host-to-Device],25,2
2.6,2820,2,1410.0,1410.0,1394,1426,22.6,[CUDA memcpy Device-to-Host],25,2
72.5,76397,2,38198.5,38198.5,36245,40152,2762.7,[CUDA memset],25,3
24.8,26128,1,26128.0,26128.0,26128,26128,0.0,[CUDA memcpy Host-to-Device],25,3
2.7,2818,2,1409.0,1409.0,1409,1409,0.0,[CUDA memcpy Device-to-Host],25,3
72.9,77288,2,38644.0,38644.0,36763,40525,2660.1,[CUDA memset],25,4
24.5,25986,1,25986.0,25986.0,25986,25986,0.0,[CUDA memcpy Host-to-Device],25,4
2.6,2806,2,1403.0,1403.0,1403,1403,0.0,[CUDA memcpy Device-to-Host],25,4
72.6,76029,2,38014.5,38014.5,35960,40069,2905.5,[CUDA memset],25,5
24.8,25927,1,25927.0,25927.0,25927,25927,0.0,[CUDA memcpy Host-to-Device],25,5
2.6,2771,2,1385.5,1385.5,1370,1401,21.9,[CUDA memcpy Device-to-Host],25,5
72.5,76769,2,38384.5,38384.5,36332,40437,2902.7,[CUDA memset],25,6
24.9,26376,1,26376.0,26376.0,26376,26376,0.0,[CUDA memcpy Host-to-Device],25,6
2.6,2714,2,1357.0,1357.0,1357,1357,0.0,[CUDA memcpy Device-to-Host],25,6
72.6,76611,2,38305.5,38305.5,36242,40369,2918.2,[CUDA memset],25,7
24.8,26198,1,26198.0,26198.0,26198,26198,0.0,[CUDA memcpy Host-to-Device],25,7
2.6,2719,2,1359.5,1359.5,1344,1375,21.9,[CUDA memcpy Device-to-Host],25,7
73.2,78414,2,39207.0,39207.0,38251,40163,1352.0,[CUDA memset],25,8
24.2,25947,1,25947.0,25947.0,25947,25947,0.0,[CUDA memcpy Host-to-Device],25,8
2.6,2774,2,1387.0,1387.0,1371,1403,22.6,[CUDA memcpy Device-to-Host],25,8
72.6,75763,2,37881.5,37881.5,35700,40063,3085.1,[CUDA memset],25,9
24.8,25891,1,25891.0,25891.0,25891,25891,0.0,[CUDA memcpy Host-to-Device],25,9
2.7,2770,2,1385.0,1385.0,1369,1401,22.6,[CUDA memcpy Device-to-Host],25,9
72.4,76671,2,38335.5,38335.5,36084,40587,3184.1,[CUDA memset],25,10
24.7,26179,1,26179.0,26179.0,26179,26179,0.0,[CUDA memcpy Host-to-Device],25,10
2.9,3023,2,1511.5,1511.5,1415,1608,136.5,[CUDA memcpy Device-to-Host],25,10
74.0,147448,2,73724.0,73724.0,73469,73979,360.6,[CUDA memset],35,1
24.5,48809,1,48809.0,48809.0,48809,48809,0.0,[CUDA memcpy Host-to-Device],35,1
1.5,2999,2,1499.5,1499.5,1499,1500,0.7,[CUDA memcpy Device-to-Host],35,1
73.5,144397,2,72198.5,72198.5,71944,72453,359.9,[CUDA memset],35,2
24.8,48599,1,48599.0,48599.0,48599,48599,0.0,[CUDA memcpy Host-to-Device],35,2
1.7,3344,2,1672.0,1672.0,1656,1688,22.6,[CUDA memcpy Device-to-Host],35,2
73.8,145628,2,72814.0,72814.0,72397,73231,589.7,[CUDA memset],35,3
24.8,48864,1,48864.0,48864.0,48864,48864,0.0,[CUDA memcpy Host-to-Device],35,3
1.4,2825,2,1412.5,1412.5,1412,1413,0.7,[CUDA memcpy Device-to-Host],35,3
73.8,144654,2,72327.0,72327.0,71833,72821,698.6,[CUDA memset],35,4
24.7,48484,1,48484.0,48484.0,48484,48484,0.0,[CUDA memcpy Host-to-Device],35,4
1.4,2776,2,1388.0,1388.0,1372,1404,22.6,[CUDA memcpy Device-to-Host],35,4
73.9,145293,2,72646.5,72646.5,71818,73475,1171.7,[CUDA memset],35,5
24.7,48569,1,48569.0,48569.0,48569,48569,0.0,[CUDA memcpy Host-to-Device],35,5
1.4,2738,2,1369.0,1369.0,1337,1401,45.3,[CUDA memcpy Device-to-Host],35,5
73.9,146149,2,73074.5,73074.5,72416,73733,931.3,[CUDA memset],35,6
24.7,48801,1,48801.0,48801.0,48801,48801,0.0,[CUDA memcpy Host-to-Device],35,6
1.4,2731,2,1365.5,1365.5,1350,1381,21.9,[CUDA memcpy Device-to-Host],35,6
73.8,144552,2,72276.0,72276.0,71941,72611,473.8,[CUDA memset],35,7
24.8,48525,1,48525.0,48525.0,48525,48525,0.0,[CUDA memcpy Host-to-Device],35,7
1.4,2840,2,1420.0,1420.0,1340,1500,113.1,[CUDA memcpy Device-to-Host],35,7
73.9,144982,2,72491.0,72491.0,72491,72491,0.0,[CUDA memset],35,8
24.7,48476,1,48476.0,48476.0,48476,48476,0.0,[CUDA memcpy Host-to-Device],35,8
1.4,2740,2,1370.0,1370.0,1338,1402,45.3,[CUDA memcpy Device-to-Host],35,8
73.8,146253,2,73126.5,73126.5,72659,73594,661.1,[CUDA memset],35,9
24.7,49009,1,49009.0,49009.0,49009,49009,0.0,[CUDA memcpy Host-to-Device],35,9
1.4,2804,2,1402.0,1402.0,1386,1418,22.6,[CUDA memcpy Device-to-Host],35,9
