ID,Kernel Name,dram__cycles_active.avg [cycle],dram__cycles_elapsed.avg [cycle],gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed [%],gpu__time_duration.sum [ns],sm__warps_active.avg.pct_of_peak_sustained_active [%]
0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",141550.3,79445952.0,0.18,0.18,11692198.4,3.12
1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",116017.6,79423936.0,0.153,0.146,11689616.0,3.121
2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",449785890.55,1877044825.6,23.963,23.963,276825744.0,36.143
