Distanza,Tempo (s)
5,0.002309727907180786
5,0.002313632011413574
5,0.002600831985473633
5,0.0024609599113464354
5,0.0023342719078063966
5,0.002385663986206055
5,0.002398432016372681
5,0.0024600639343261717
5,0.0023607358932495118
5,0.0023299520015716553
5,0.0023402879238128664
5,0.002836735963821411
5,0.0023368639945983887
5,0.0023327679634094238
5,0.0023617920875549318
5,0.0023449599742889405
5,0.0023348159790039062
5,0.002697376012802124
5,0.002356031894683838
5,0.0025681920051574708
5,0.0028862080574035645
5,0.003526655912399292
5,0.0023859200477600096
5,0.0024172160625457765
5,0.002445568084716797
5,0.00234883189201355
5,0.0023613440990447997
5,0.002368896007537842
5,0.002398911952972412
5,0.002363392114639282
10,0.008389408111572266
10,0.008363360404968262
10,0.008933792114257813
10,0.008371264457702636
10,0.008353695869445801
10,0.008468480110168456
10,0.008541215896606445
10,0.008498784065246581
10,0.008424351692199707
10,0.008353759765625
10,0.00844927978515625
10,0.00845263957977295
10,0.008353792190551757
10,0.008431072235107423
10,0.008755167961120606
10,0.008360992431640625
10,0.008380831718444825
10,0.008349696159362792
10,0.00839686393737793
10,0.00841862392425537
10,0.008505472183227539
10,0.008400735855102539
10,0.008428735733032227
10,0.00850710391998291
10,0.00837814426422119
10,0.008418272018432617
10,0.008449728012084962
10,0.008341728210449218
10,0.008530015945434571
10,0.009092127799987793
15,0.02535219192504883
15,0.02514601516723633
15,0.024836383819580077
15,0.025475839614868163
15,0.025123071670532227
15,0.02532476806640625
15,0.025097856521606444
15,0.02566339111328125
15,0.025001312255859377
15,0.024960704803466797
15,0.025096160888671875
15,0.02525369644165039
15,0.02521683120727539
15,0.025391103744506836
15,0.024911231994628906
15,0.025454591751098633
15,0.025371871948242187
15,0.02533580780029297
15,0.025193504333496094
15,0.025403743743896486
15,0.025299264907836915
15,0.02539311981201172
15,0.025304832458496095
15,0.025036800384521486
15,0.025289344787597656
15,0.0250963191986084
15,0.025139360427856444
15,0.025233407974243165
15,0.025078432083129883
15,0.025268543243408204
20,0.056220958709716794
20,0.05733574295043945
20,0.05648793411254883
20,0.057363136291503906
20,0.059785312652587894
20,0.05632377624511719
20,0.05636937713623047
20,0.05739081573486328
20,0.05731545639038086
20,0.05638499069213867
20,0.0563172492980957
20,0.05743024063110352
20,0.05718175888061523
20,0.0570880012512207
20,0.056543136596679686
20,0.05602352142333984
20,0.05654732894897461
20,0.0562503662109375
20,0.05627510452270508
20,0.056016639709472654
20,0.056171615600585936
20,0.05689782333374024
20,0.05607676696777344
20,0.056420352935791014
20,0.05695840072631836
20,0.05687910461425781
20,0.0575557746887207
20,0.056784896850585936
20,0.05591891098022461
20,0.05669472122192383
25,0.10702236938476563
25,0.10903699493408203
25,0.1082982406616211
25,0.10633433532714844
25,0.10697932434082032
25,0.10522061157226563
25,0.10901110076904297
25,0.10665990447998047
25,0.10654310607910156
25,0.10858946990966797
25,0.10616831970214843
25,0.10651606750488281
25,0.10637526702880859
25,0.10876025390625
