ID,Kernel Name,dram__cycles_active.avg [cycle],dram__cycles_elapsed.avg [cycle],gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed [%],gpu__time_duration.sum [ns],sm__warps_active.avg.pct_of_peak_sustained_active [%]
0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",14385.6,14615641.6,0.265,0.101,2151040.0,3.121
1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15304.4,14602457.6,0.251,0.10700000000000001,2146947.2,3.124
2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",30693147.15,149364953.6,20.549,20.549,21890348.8,36.069
